43.45 , 3d:3.98:6.25:-72.85 : 0:0:0 , 0:72.85 , 0:-6.25 , 0:-3.98 , 1:47.32 , 1:9.79 , 1:-20.99 , 2:-9.84 , 2:0.14 , 2:0.14 ,
43.45 , 3d:3.98:6.13:-73.08 : 0:0:0 , 0:73.08 , 0:-6.13 , 0:-3.98 , 1:50.60 , 1:6.80 , 1:-25.39 , 2:-9.88 , 2:0.21 , 2:0.21 ,
43.46 , 3d:4.00:6.00:-73.34 : 0:0:0 , 0:73.34 , 0:-6.00 , 0:-4.00 , 1:54.73 , 1:3.28 , 1:-28.46 , 2:-9.97 , 2:0.26 , 2:0.26 ,
43.46 , 3d:4.03:5.86:-73.61 : 0:0:0 , 0:73.61 , 0:-5.86 , 0:-4.03 , 1:58.70 , 1:-0.18 , 1:-29.88 , 2:-10.00 , 2:0.24 , 2:0.24 ,
43.47 , 3d:4.10:5.68:-74.01 : 0:0:0 , 0:74.01 , 0:-5.68 , 0:-4.10 , 1:61.76 , 1:-3.46 , 1:-29.04 , 2:-10.08 , 2:0.04 , 2:0.04 ,
43.50 , 3d:4.43:5.27:-75.56 : 0:0:0 , 0:75.56 , 0:-5.27 , 0:-4.43 , 1:41.00 , 1:-7.82 , 1:-6.00 , 2:-9.95 , 2:0.50 , 2:0.50 ,
43.50 , 3d:4.47:5.26:-75.74 : 0:0:0 , 0:75.74 , 0:-5.26 , 0:-4.47 , 1:36.80 , 1:-7.79 , 1:-3.02 , 2:-9.87 , 2:0.52 , 2:0.52 ,
43.51 , 3d:4.54:5.28:-76.06 : 0:0:0 , 0:76.06 , 0:-5.28 , 0:-4.54 , 1:30.62 , 1:-8.72 , 1:1.41 , 2:-9.62 , 2:0.37 , 2:0.37 ,
43.52 , 3d:4.61:5.32:-76.30 : 0:0:0 , 0:76.30 , 0:-5.32 , 0:-4.61 , 1:29.49 , 1:-9.64 , 1:3.77 , 2:-9.46 , 2:0.25 , 2:0.25 ,
43.52 , 3d:4.64:5.34:-76.40 : 0:0:0 , 0:76.40 , 0:-5.34 , 0:-4.64 , 1:29.55 , 1:-9.96 , 1:4.43 , 2:-9.37 , 2:0.17 , 2:0.17 ,
43.54 , 3d:4.77:5.48:-76.92 : 0:0:0 , 0:76.92 , 0:-5.48 , 0:-4.77 , 1:35.22 , 1:-10.37 , 1:8.40 , 2:-9.58 , 2:-0.12 , 2:-0.12 ,
43.57 , 3d:5.02:5.65:-78.16 : 0:0:0 , 0:78.16 , 0:-5.65 , 0:-5.02 , 1:40.51 , 1:-10.54 , 1:-2.27 , 2:-10.13 , 2:-0.07 , 2:-0.07 ,
43.58 , 3d:5.26:5.59:-78.86 : 0:0:0 , 0:78.86 , 0:-5.59 , 0:-5.26 , 1:43.84 , 1:-15.41 , 1:-10.46 , 2:-9.78 , 2:0.25 , 2:0.25 ,
43.59 , 3d:5.34:5.55:-79.08 : 0:0:0 , 0:79.08 , 0:-5.55 , 0:-5.34 , 1:43.60 , 1:-15.81 , 1:-13.42 , 2:-9.66 , 2:0.27 , 2:0.27 ,
43.61 , 3d:5.72:5.29:-79.99 : 0:0:0 , 0:79.99 , 0:-5.29 , 0:-5.72 , 1:35.76 , 1:-12.28 , 1:-11.31 , 2:-9.56 , 2:0.05 , 2:0.05 ,
43.61 , 3d:5.76:5.27:-80.11 : 0:0:0 , 0:80.11 , 0:-5.27 , 0:-5.76 , 1:35.03 , 1:-11.23 , 1:-9.46 , 2:-9.54 , 2:-0.01 , 2:-0.01 ,
43.62 , 3d:5.80:5.25:-80.22 : 0:0:0 , 0:80.22 , 0:-5.25 , 0:-5.80 , 1:34.62 , 1:-10.83 , 1:-7.40 , 2:-9.60 , 2:-0.10 , 2:-0.10 ,
43.62 , 3d:5.84:5.24:-80.33 : 0:0:0 , 0:80.33 , 0:-5.24 , 0:-5.84 , 1:34.30 , 1:-11.14 , 1:-5.42 , 2:-9.66 , 2:-0.16 , 2:-0.16 ,
43.62 , 3d:5.88:5.23:-80.44 : 0:0:0 , 0:80.44 , 0:-5.23 , 0:-5.88 , 1:34.56 , 1:-11.63 , 1:-3.43 , 2:-9.90 , 2:-0.23 , 2:-0.23 ,
43.63 , 3d:6.00:5.23:-80.79 : 0:0:0 , 0:80.79 , 0:-5.23 , 0:-6.00 , 1:35.66 , 1:-14.22 , 1:-1.30 , 2:-9.84 , 2:-0.18 , 2:-0.18 ,
